Date,Ticker,Company,Quantity,Cost_per_share_ave,Total_cost_ave
2020-01-15,LON:BBOX,Tritax Big Box REIT PLC,141,146.8,"1,614.76"
2020-01-15,LON:IEM,Impax Environmental Markets plc,59,333.76,797.69
2020-01-15,LON:SMDS,DS Smith plc,54,396.58,"1,729.09"
2020-01-19,LON:HSTN,Hansteen,-1109,0,0
2020-03-02,NYSE:MA,Mastercard Inc,4,23034.15,921.37
2020-03-09,LON:JET,Just Eat Takeaway.com NV,7,7271.43,509
2020-03-09,LON:LMP,Londonmetric Property PLC,389,208.139,809.66
2020-03-11,NYSE:SHOP,Shopify Inc,2,32233,"1,289.32"
2020-03-12,NYSE:MA,Mastercard Inc,3,21623.74,"1,513.66"
2020-03-16,LON:PRU,Prudential plc,114,1020.39,"2,061.20"
2020-03-16,LON:SYNT,Synthomer PLC,373,276.41,"2,111.75"
2020-03-18,NYSE:SHOP,Shopify Inc,3,30874,"2,161.74"
2020-03-18,LON:PRU,Prudential plc,111,913.29,"2,858.60"
2020-03-18,LON:SMDS,DS Smith plc,285,350.56,"2,527.52"
2020-03-23,LON:RMV,Rightmove Plc,203,393.69,799.19
2020-04-03,NASDAQ:GOOG,Alphabet Inc Class C,2,91270.87,"1,825.42"
2020-04-15,LON:AV,Aviva plc,120,339.9,"1,155.66"
2020-04-15,LON:FSFL,Foresight Solar Fund Ltd,875,114.24,999.62
2020-04-15,LON:GSK,GlaxoSmithKline plc,43,1670.84,"1,503.75"
2020-04-15,LON:IEM,Impax Environmental Markets plc,253,304.09,"1,496.14"
2020-06-17,LON:AV,Aviva plc,105,326.88,"1,454.62"
2020-06-17,LON:FSFL,Foresight Solar Fund Ltd,174,114.26,"1,198.54"
2020-06-17,LON:GSK,GlaxoSmithKline plc,18,1669.46,"1,803.02"
2020-06-17,LON:UKW,Greencoat UK Wind PLC,272,149.09,997.39
2020-07-13,LON:GSK,GlaxoSmithKline plc,32,1651.93,"2,312.71"
2020-07-15,LON:SMDS,DS Smith plc,181,334.66,"3,018.64"
2020-07-15,LON:UKW,Greencoat UK Wind PLC,340,148.36,"1,496.95"
2020-08-19,LON:AV,Aviva plc,105,318.87,"1,753.78"
2020-08-19,LON:BBOX,Tritax Big Box REIT PLC,129,147.61,"1,814.16"
2020-08-19,LON:FSFL,Foresight Solar Fund Ltd,184,113.34,"1,397.51"
2020-08-19,LON:GSK,GlaxoSmithKline plc,19,1640.39,"2,608.22"
2020-08-19,LON:LMP,Londonmetric Property PLC,84,213.06,"1,007.77"
2020-08-19,LON:SMDS,DS Smith plc,106,329.23,"3,318.64"
2020-08-19,LON:UKW,Greencoat UK Wind PLC,142,147.36,"1,696.14"
2020-09-16,LON:SMDS,DS Smith plc,172,323.49,"3,817.17"
2020-10-07,LON:GSK,GlaxoSmithKline plc,42,1596.15,"3,208.27"
2020-10-12,LON:MONY,Moneysupermarket.Com Group PLC,110,285.89,"3,084.77"
2020-10-21,LON:AV,Aviva plc,107,312.54,"2,053.37"
2020-10-21,LON:GSK,GlaxoSmithKline plc,21,1574.34,"3,495.04"
2020-11-18,LON:EXPN,Experian plc,10,1855.72,890.74
2020-11-18,LON:PLP,Polypipe Group PLC,158,503.99,796.31
2020-11-18,LON:XPP,XP Power Ltd.,6,2663.31,"1,411.56"
2020-12-08,NYSE:ANET,Arista Networks Inc,5,21420.43,"1,071.02"
2020-12-16,LON:EXPN,Experian plc,6,1953.83,"1,055.07"
2021-01-20,LON:BBOX,Tritax Big Box REIT PLC,107,150.73,"2,013.72"
2021-01-20,LON:PLP,Polypipe Group PLC,55,512.95,"1,092.58"
2021-01-20,LON:EXPN,Experian plc,11,2072.76,"1,347.29"
2021-01-20,LON:UKW,Greencoat UK Wind PLC,220,145.51,"1,994.89"
2021-01-20,LON:SMDS,DS Smith plc,51,326.03,"4,013.41"
